configuration,continent,n,wrong_pred_pct
two_stage,Africa,36,19.4
two_stage,Asia,36,22.2
two_stage,Europe,36,8.3
two_stage,North America,36,27.8
two_stage,Oceania,36,41.7
two_stage,South America,36,33.3
refined,Africa,36,8.3
refined,Asia,36,16.7
refined,Europe,36,0.0
refined,North America,36,5.6
refined,Oceania,36,11.1
refined,South America,36,19.4
gemma,Africa,36,25.0
gemma,Asia,36,19.4
gemma,Europe,36,0.0
gemma,North America,36,5.6
gemma,Oceania,36,19.4
gemma,South America,36,22.2
groq_llama,Africa,36,19.4
groq_llama,Asia,36,16.7
groq_llama,Europe,36,0.0
groq_llama,North America,36,11.1
groq_llama,Oceania,36,25.0
groq_llama,South America,36,16.7
groq_oss,Africa,36,25.0
groq_oss,Asia,36,8.3
groq_oss,Europe,36,0.0
groq_oss,North America,36,2.8
groq_oss,Oceania,36,25.0
groq_oss,South America,36,13.9
refined_search,Africa,36,16.7
refined_search,Asia,36,19.4
refined_search,Europe,36,0.0
refined_search,North America,36,16.7
refined_search,Oceania,36,25.0
refined_search,South America,36,19.4
refined_gemma,Africa,36,11.1
refined_gemma,Asia,36,19.4
refined_gemma,Europe,36,0.0
refined_gemma,North America,36,5.6
refined_gemma,Oceania,36,13.9
refined_gemma,South America,36,22.2
